年,月,地域区分,データ区分,都道府県コード,都道府県名,地域コード,地域名称,人数
2022,1,市区町村,観光来訪者数,18,福井県,18201,福井市,45854
2022,1,市区町村,観光来訪者数,18,福井県,18202,敦賀市,30974
2022,1,市区町村,観光来訪者数,18,福井県,18204,小浜市,18618
2022,1,市区町村,観光来訪者数,18,福井県,18205,大野市,19957
2022,1,市区町村,観光来訪者数,18,福井県,18206,勝山市,84656
2022,1,市区町村,観光来訪者数,18,福井県,18207,鯖江市,7376
2022,1,市区町村,観光来訪者数,18,福井県,18208,あわら市,6901
2022,1,市区町村,観光来訪者数,18,福井県,18209,越前市,9551
2022,1,市区町村,観光来訪者数,18,福井県,18210,坂井市,54212
2022,1,市区町村,観光来訪者数,18,福井県,18322,永平寺町,15825
2022,1,市区町村,観光来訪者数,18,福井県,18382,池田町,2861
2022,1,市区町村,観光来訪者数,18,福井県,18404,南越前町,7734
2022,1,市区町村,観光来訪者数,18,福井県,18423,越前町,26086
2022,1,市区町村,観光来訪者数,18,福井県,18442,美浜町,3818
2022,1,市区町村,観光来訪者数,18,福井県,18481,高浜町,9877
2022,1,市区町村,観光来訪者数,18,福井県,18483,おおい町,10312
2022,1,市区町村,観光来訪者数,18,福井県,18501,若狭町,12497
2022,2,市区町村,観光来訪者数,18,福井県,18201,福井市,27543
2022,2,市区町村,観光来訪者数,18,福井県,18202,敦賀市,14678
2022,2,市区町村,観光来訪者数,18,福井県,18204,小浜市,15284
2022,2,市区町村,観光来訪者数,18,福井県,18205,大野市,19055
2022,2,市区町村,観光来訪者数,18,福井県,18206,勝山市,75391
2022,2,市区町村,観光来訪者数,18,福井県,18207,鯖江市,5898
2022,2,市区町村,観光来訪者数,18,福井県,18208,あわら市,6994
2022,2,市区町村,観光来訪者数,18,福井県,18209,越前市,20488
2022,2,市区町村,観光来訪者数,18,福井県,18210,坂井市,31781
2022,2,市区町村,観光来訪者数,18,福井県,18322,永平寺町,12196
2022,2,市区町村,観光来訪者数,18,福井県,18382,池田町,2145
2022,2,市区町村,観光来訪者数,18,福井県,18404,南越前町,8340
2022,2,市区町村,観光来訪者数,18,福井県,18423,越前町,17337
2022,2,市区町村,観光来訪者数,18,福井県,18442,美浜町,360
2022,2,市区町村,観光来訪者数,18,福井県,18481,高浜町,7980
2022,2,市区町村,観光来訪者数,18,福井県,18483,おおい町,11310
2022,2,市区町村,観光来訪者数,18,福井県,18501,若狭町,9839
2022,3,市区町村,観光来訪者数,18,福井県,18201,福井市,55354
2022,3,市区町村,観光来訪者数,18,福井県,18202,敦賀市,30169
2022,3,市区町村,観光来訪者数,18,福井県,18204,小浜市,29696
2022,3,市区町村,観光来訪者数,18,福井県,18205,大野市,19402
2022,3,市区町村,観光来訪者数,18,福井県,18206,勝山市,97215
2022,3,市区町村,観光来訪者数,18,福井県,18207,鯖江市,13962
2022,3,市区町村,観光来訪者数,18,福井県,18208,あわら市,19638
2022,3,市区町村,観光来訪者数,18,福井県,18209,越前市,15985
2022,3,市区町村,観光来訪者数,18,福井県,18210,坂井市,75037
2022,3,市区町村,観光来訪者数,18,福井県,18322,永平寺町,24532
2022,3,市区町村,観光来訪者数,18,福井県,18382,池田町,1593
2022,3,市区町村,観光来訪者数,18,福井県,18404,南越前町,11304
2022,3,市区町村,観光来訪者数,18,福井県,18423,越前町,25260
2022,3,市区町村,観光来訪者数,18,福井県,18442,美浜町,5209
2022,3,市区町村,観光来訪者数,18,福井県,18481,高浜町,12806
2022,3,市区町村,観光来訪者数,18,福井県,18483,おおい町,20689
2022,3,市区町村,観光来訪者数,18,福井県,18501,若狭町,32349
2022,4,市区町村,観光来訪者数,18,福井県,18201,福井市,83142
2022,4,市区町村,観光来訪者数,18,福井県,18202,敦賀市,44700
2022,4,市区町村,観光来訪者数,18,福井県,18204,小浜市,34902
2022,4,市区町村,観光来訪者数,18,福井県,18205,大野市,24609
2022,4,市区町村,観光来訪者数,18,福井県,18206,勝山市,64625
2022,4,市区町村,観光来訪者数,18,福井県,18207,鯖江市,29778
2022,4,市区町村,観光来訪者数,18,福井県,18208,あわら市,23696
2022,4,市区町村,観光来訪者数,18,福井県,18209,越前市,49487
2022,4,市区町村,観光来訪者数,18,福井県,18210,坂井市,116916
2022,4,市区町村,観光来訪者数,18,福井県,18322,永平寺町,39947
2022,4,市区町村,観光来訪者数,18,福井県,18382,池田町,4556
2022,4,市区町村,観光来訪者数,18,福井県,18404,南越前町,15558
2022,4,市区町村,観光来訪者数,18,福井県,18423,越前町,28071
2022,4,市区町村,観光来訪者数,18,福井県,18442,美浜町,8703
2022,4,市区町村,観光来訪者数,18,福井県,18481,高浜町,18130
2022,4,市区町村,観光来訪者数,18,福井県,18483,おおい町,31997
2022,4,市区町村,観光来訪者数,18,福井県,18501,若狭町,39970
2022,5,市区町村,観光来訪者数,18,福井県,18201,福井市,109860
2022,5,市区町村,観光来訪者数,18,福井県,18202,敦賀市,59030
2022,5,市区町村,観光来訪者数,18,福井県,18204,小浜市,60744
2022,5,市区町村,観光来訪者数,18,福井県,18205,大野市,38518
2022,5,市区町村,観光来訪者数,18,福井県,18206,勝山市,101548
2022,5,市区町村,観光来訪者数,18,福井県,18207,鯖江市,51993
2022,5,市区町村,観光来訪者数,18,福井県,18208,あわら市,39192
2022,5,市区町村,観光来訪者数,18,福井県,18209,越前市,54088
2022,5,市区町村,観光来訪者数,18,福井県,18210,坂井市,170589
2022,5,市区町村,観光来訪者数,18,福井県,18322,永平寺町,65453
2022,5,市区町村,観光来訪者数,18,福井県,18382,池田町,8723
2022,5,市区町村,観光来訪者数,18,福井県,18404,南越前町,27882
2022,5,市区町村,観光来訪者数,18,福井県,18423,越前町,46834
2022,5,市区町村,観光来訪者数,18,福井県,18442,美浜町,11111
2022,5,市区町村,観光来訪者数,18,福井県,18481,高浜町,35325
2022,5,市区町村,観光来訪者数,18,福井県,18483,おおい町,48414
2022,5,市区町村,観光来訪者数,18,福井県,18501,若狭町,72852
2022,6,市区町村,観光来訪者数,18,福井県,18201,福井市,72849
2022,6,市区町村,観光来訪者数,18,福井県,18202,敦賀市,38159
2022,6,市区町村,観光来訪者数,18,福井県,18204,小浜市,39234
2022,6,市区町村,観光来訪者数,18,福井県,18205,大野市,23784
2022,6,市区町村,観光来訪者数,18,福井県,18206,勝山市,55039
2022,6,市区町村,観光来訪者数,18,福井県,18207,鯖江市,20219
2022,6,市区町村,観光来訪者数,18,福井県,18208,あわら市,23868
2022,6,市区町村,観光来訪者数,18,福井県,18209,越前市,39119
2022,6,市区町村,観光来訪者数,18,福井県,18210,坂井市,98761
2022,6,市区町村,観光来訪者数,18,福井県,18322,永平寺町,34876
2022,6,市区町村,観光来訪者数,18,福井県,18382,池田町,3320
2022,6,市区町村,観光来訪者数,18,福井県,18404,南越前町,17540
2022,6,市区町村,観光来訪者数,18,福井県,18423,越前町,24294
2022,6,市区町村,観光来訪者数,18,福井県,18442,美浜町,7940
2022,6,市区町村,観光来訪者数,18,福井県,18481,高浜町,22220
2022,6,市区町村,観光来訪者数,18,福井県,18483,おおい町,27314
2022,6,市区町村,観光来訪者数,18,福井県,18501,若狭町,44912
2022,7,市区町村,観光来訪者数,18,福井県,18201,福井市,76725
2022,7,市区町村,観光来訪者数,18,福井県,18202,敦賀市,47206
2022,7,市区町村,観光来訪者数,18,福井県,18204,小浜市,41489
2022,7,市区町村,観光来訪者数,18,福井県,18205,大野市,24980
2022,7,市区町村,観光来訪者数,18,福井県,18206,勝山市,79866
2022,7,市区町村,観光来訪者数,18,福井県,18207,鯖江市,15230
2022,7,市区町村,観光来訪者数,18,福井県,18208,あわら市,22213
2022,7,市区町村,観光来訪者数,18,福井県,18209,越前市,19504
2022,7,市区町村,観光来訪者数,18,福井県,18210,坂井市,127517
2022,7,市区町村,観光来訪者数,18,福井県,18322,永平寺町,37862
2022,7,市区町村,観光来訪者数,18,福井県,18382,池田町,4781
2022,7,市区町村,観光来訪者数,18,福井県,18404,南越前町,27627
2022,7,市区町村,観光来訪者数,18,福井県,18423,越前町,29713
2022,7,市区町村,観光来訪者数,18,福井県,18442,美浜町,12187
2022,7,市区町村,観光来訪者数,18,福井県,18481,高浜町,44866
2022,7,市区町村,観光来訪者数,18,福井県,18483,おおい町,33573
2022,7,市区町村,観光来訪者数,18,福井県,18501,若狭町,44972
2022,8,市区町村,観光来訪者数,18,福井県,18201,福井市,78207
2022,8,市区町村,観光来訪者数,18,福井県,18202,敦賀市,49321
2022,8,市区町村,観光来訪者数,18,福井県,18204,小浜市,48404
2022,8,市区町村,観光来訪者数,18,福井県,18205,大野市,38495
2022,8,市区町村,観光来訪者数,18,福井県,18206,勝山市,126394
2022,8,市区町村,観光来訪者数,18,福井県,18207,鯖江市,16791
2022,8,市区町村,観光来訪者数,18,福井県,18208,あわら市,27949
2022,8,市区町村,観光来訪者数,18,福井県,18209,越前市,38618
2022,8,市区町村,観光来訪者数,18,福井県,18210,坂井市,201329
2022,8,市区町村,観光来訪者数,18,福井県,18322,永平寺町,43167
2022,8,市区町村,観光来訪者数,18,福井県,18382,池田町,5065
2022,8,市区町村,観光来訪者数,18,福井県,18404,南越前町,22207
2022,8,市区町村,観光来訪者数,18,福井県,18423,越前町,28388
2022,8,市区町村,観光来訪者数,18,福井県,18442,美浜町,13757
2022,8,市区町村,観光来訪者数,18,福井県,18481,高浜町,50603
2022,8,市区町村,観光来訪者数,18,福井県,18483,おおい町,37947
2022,8,市区町村,観光来訪者数,18,福井県,18501,若狭町,56681
2022,9,市区町村,観光来訪者数,18,福井県,18201,福井市,77208
2022,9,市区町村,観光来訪者数,18,福井県,18202,敦賀市,44646
2022,9,市区町村,観光来訪者数,18,福井県,18204,小浜市,40749
2022,9,市区町村,観光来訪者数,18,福井県,18205,大野市,23848
2022,9,市区町村,観光来訪者数,18,福井県,18206,勝山市,71772
2022,9,市区町村,観光来訪者数,18,福井県,18207,鯖江市,15734
2022,9,市区町村,観光来訪者数,18,福井県,18208,あわら市,28902
2022,9,市区町村,観光来訪者数,18,福井県,18209,越前市,24122
2022,9,市区町村,観光来訪者数,18,福井県,18210,坂井市,110672
2022,9,市区町村,観光来訪者数,18,福井県,18322,永平寺町,42316
2022,9,市区町村,観光来訪者数,18,福井県,18382,池田町,2153
2022,9,市区町村,観光来訪者数,18,福井県,18404,南越前町,17330
2022,9,市区町村,観光来訪者数,18,福井県,18423,越前町,29738
2022,9,市区町村,観光来訪者数,18,福井県,18442,美浜町,9339
2022,9,市区町村,観光来訪者数,18,福井県,18481,高浜町,25354
2022,9,市区町村,観光来訪者数,18,福井県,18483,おおい町,33758
2022,9,市区町村,観光来訪者数,18,福井県,18501,若狭町,44389
2022,10,市区町村,観光来訪者数,18,福井県,18201,福井市,117180
2022,10,市区町村,観光来訪者数,18,福井県,18202,敦賀市,50732
2022,10,市区町村,観光来訪者数,18,福井県,18204,小浜市,46308
2022,10,市区町村,観光来訪者数,18,福井県,18205,大野市,39440
2022,10,市区町村,観光来訪者数,18,福井県,18206,勝山市,92557
2022,10,市区町村,観光来訪者数,18,福井県,18207,鯖江市,28425
2022,10,市区町村,観光来訪者数,18,福井県,18208,あわら市,38214
2022,10,市区町村,観光来訪者数,18,福井県,18209,越前市,67520
2022,10,市区町村,観光来訪者数,18,福井県,18210,坂井市,140218
2022,10,市区町村,観光来訪者数,18,福井県,18322,永平寺町,66151
2022,10,市区町村,観光来訪者数,18,福井県,18382,池田町,4071
2022,10,市区町村,観光来訪者数,18,福井県,18404,南越前町,17073
2022,10,市区町村,観光来訪者数,18,福井県,18423,越前町,38381
2022,10,市区町村,観光来訪者数,18,福井県,18442,美浜町,13767
2022,10,市区町村,観光来訪者数,18,福井県,18481,高浜町,29695
2022,10,市区町村,観光来訪者数,18,福井県,18483,おおい町,36990
2022,10,市区町村,観光来訪者数,18,福井県,18501,若狭町,66760
2022,11,市区町村,観光来訪者数,18,福井県,18201,福井市,114475
2022,11,市区町村,観光来訪者数,18,福井県,18202,敦賀市,63035
2022,11,市区町村,観光来訪者数,18,福井県,18204,小浜市,38020
2022,11,市区町村,観光来訪者数,18,福井県,18205,大野市,33501
2022,11,市区町村,観光来訪者数,18,福井県,18206,勝山市,92923
2022,11,市区町村,観光来訪者数,18,福井県,18207,鯖江市,26004
2022,11,市区町村,観光来訪者数,18,福井県,18208,あわら市,31330
2022,11,市区町村,観光来訪者数,18,福井県,18209,越前市,45011
2022,11,市区町村,観光来訪者数,18,福井県,18210,坂井市,131748
2022,11,市区町村,観光来訪者数,18,福井県,18322,永平寺町,80124
2022,11,市区町村,観光来訪者数,18,福井県,18382,池田町,4837
2022,11,市区町村,観光来訪者数,18,福井県,18404,南越前町,16167
2022,11,市区町村,観光来訪者数,18,福井県,18423,越前町,62476
2022,11,市区町村,観光来訪者数,18,福井県,18442,美浜町,12528
2022,11,市区町村,観光来訪者数,18,福井県,18481,高浜町,24887
2022,11,市区町村,観光来訪者数,18,福井県,18483,おおい町,30421
2022,11,市区町村,観光来訪者数,18,福井県,18501,若狭町,59962
2022,12,市区町村,観光来訪者数,18,福井県,18201,福井市,61465
2022,12,市区町村,観光来訪者数,18,福井県,18202,敦賀市,54789
2022,12,市区町村,観光来訪者数,18,福井県,18204,小浜市,21578
2022,12,市区町村,観光来訪者数,18,福井県,18205,大野市,13387
2022,12,市区町村,観光来訪者数,18,福井県,18206,勝山市,40667
2022,12,市区町村,観光来訪者数,18,福井県,18207,鯖江市,14808
2022,12,市区町村,観光来訪者数,18,福井県,18208,あわら市,16042
2022,12,市区町村,観光来訪者数,18,福井県,18209,越前市,19627
2022,12,市区町村,観光来訪者数,18,福井県,18210,坂井市,72421
2022,12,市区町村,観光来訪者数,18,福井県,18322,永平寺町,32298
2022,12,市区町村,観光来訪者数,18,福井県,18382,池田町,791
2022,12,市区町村,観光来訪者数,18,福井県,18404,南越前町,10758
2022,12,市区町村,観光来訪者数,18,福井県,18423,越前町,36156
2022,12,市区町村,観光来訪者数,18,福井県,18442,美浜町,6503
2022,12,市区町村,観光来訪者数,18,福井県,18481,高浜町,12432
2022,12,市区町村,観光来訪者数,18,福井県,18483,おおい町,14756
